Date,Clicks,Impressions,CTR,Position
2025-10-20,1,46,2.17%,41.2
2025-10-21,0,54,0%,39.8
2025-10-22,2,67,2.99%,43.3
2025-10-23,2,62,3.23%,38.5
2025-10-24,0,57,0%,42.6
2025-10-25,1,48,2.08%,48.9
2025-10-26,1,44,2.27%,44
2025-10-27,0,73,0%,45.8
2025-10-28,1,31,3.23%,49.1
2025-10-29,1,51,1.96%,45.3
2025-10-30,1,80,1.25%,44
2025-10-31,2,85,2.35%,45.7
2025-11-01,1,91,1.1%,42.5
2025-11-02,2,101,1.98%,44.7
2025-11-03,0,95,0%,34.7
2025-11-04,0,78,0%,46.4
2025-11-05,0,100,0%,44.1
2025-11-06,0,101,0%,31.1
2025-11-07,0,94,0%,37.2
2025-11-08,2,96,2.08%,42.5
2025-11-09,1,93,1.08%,29.1
2025-11-10,1,115,0.87%,38
2025-11-11,4,112,3.57%,35.6
2025-11-12,0,107,0%,34.8
2025-11-13,0,121,0%,46.5
2025-11-14,2,88,2.27%,35.2
2025-11-15,1,96,1.04%,33.4
2025-11-16,1,76,1.32%,31.3
2025-11-17,2,98,2.04%,28.5
2025-11-18,2,87,2.3%,33.1
2025-11-19,2,141,1.42%,34.2
2025-11-20,0,179,0%,30.3
2025-11-21,1,207,0.48%,26.4
2025-11-22,0,198,0%,29.1
2025-11-23,1,149,0.67%,29.5
2025-11-24,0,154,0%,22.5
2025-11-25,6,162,3.7%,21.6
2025-11-26,3,190,1.58%,30.3
2025-11-27,0,169,0%,31.6
2025-11-28,0,116,0%,37.1
2025-11-29,0,181,0%,34.3
2025-11-30,4,154,2.6%,31.4
2025-12-01,3,202,1.49%,27.6
2025-12-02,1,474,0.21%,43.2
2025-12-03,1,414,0.24%,38.4
2025-12-04,1,507,0.2%,36
2025-12-05,2,638,0.31%,35.7
2025-12-06,3,982,0.31%,35.1
2025-12-07,1,940,0.11%,36.2
2025-12-08,4,967,0.41%,37.1
2025-12-09,3,934,0.32%,37.6
2025-12-10,6,860,0.7%,41.9
2025-12-11,1,825,0.12%,32.5
2025-12-12,7,1067,0.66%,28.5
2025-12-13,2,1155,0.17%,27.8
2025-12-14,3,1055,0.28%,34.1
2025-12-15,6,1764,0.34%,27.7
2025-12-16,10,1830,0.55%,25.8
2025-12-17,2,832,0.24%,29.2
2025-12-18,8,637,1.26%,22.7
2025-12-19,2,940,0.21%,23.7
2025-12-20,7,1071,0.65%,24.2
2025-12-21,5,992,0.5%,26.1
2025-12-22,4,933,0.43%,23.8
2025-12-23,2,1190,0.17%,29.2
2025-12-24,2,1102,0.18%,30.1
2025-12-25,2,818,0.24%,26.2
2025-12-26,6,998,0.6%,22.6
2025-12-27,4,1195,0.33%,25.4
2025-12-28,7,1066,0.66%,25.6
2025-12-29,4,1228,0.33%,22.5
2025-12-30,6,1302,0.46%,25.9
2025-12-31,4,962,0.42%,25.1
2026-01-01,5,999,0.5%,23.2
2026-01-02,5,1215,0.41%,20.9
2026-01-03,7,1245,0.56%,24.1
2026-01-04,8,1267,0.63%,23.8
2026-01-05,2,1411,0.14%,25.1
2026-01-06,9,1223,0.74%,23.5
2026-01-07,10,1649,0.61%,23
2026-01-08,8,2224,0.36%,25.1
2026-01-09,10,2005,0.5%,26.9
2026-01-10,5,1763,0.28%,23.6
2026-01-11,9,1478,0.61%,28
2026-01-12,11,1525,0.72%,22.1
2026-01-13,12,1592,0.75%,23.4
2026-01-14,7,1529,0.46%,25.3
2026-01-15,11,1539,0.71%,23.5
2026-01-16,9,1773,0.51%,30.2
2026-01-17,6,1852,0.32%,26.8
2026-01-18,10,1787,0.56%,26.1
2026-01-19,7,1704,0.41%,22.9
