Country,Clicks,Impressions,CTR,Position
United States,295,59664,0.49%,27.97
Nigeria,5,33,15.15%,15.52
India,4,385,1.04%,33.7
Pakistan,3,81,3.7%,16.48
Germany,2,115,1.74%,14.76
Australia,2,84,2.38%,19.8
United Kingdom,1,711,0.14%,36.12
Canada,1,344,0.29%,14.55
Philippines,1,105,0.95%,17.61
Bangladesh,1,74,1.35%,16.39
Sweden,1,18,5.56%,10.61
New Zealand,1,14,7.14%,22.64
Nicaragua,1,5,20%,7
Brazil,0,362,0%,16.02
Mexico,0,230,0%,14.4
Indonesia,0,131,0%,15.79
South Korea,0,119,0%,12.68
Vietnam,0,104,0%,18.09
Turkey,0,81,0%,20.27
France,0,72,0%,12.36
Argentina,0,60,0%,17.37
Colombia,0,57,0%,17.65
Ecuador,0,57,0%,19.86
Malaysia,0,54,0%,14.04
Italy,0,49,0%,21.27
Spain,0,46,0%,16.57
Thailand,0,46,0%,18.76
Ireland,0,46,0%,27.87
Ukraine,0,37,0%,18.49
Chile,0,34,0%,16.38
Dominican Republic,0,33,0%,18.33
Algeria,0,33,0%,19.85
Saudi Arabia,0,32,0%,17.91
Morocco,0,30,0%,22.33
Netherlands,0,29,0%,22.62
Peru,0,28,0%,16.04
Poland,0,27,0%,16.44
Russia,0,26,0%,17.54
Japan,0,26,0%,19.38
Egypt,0,26,0%,20.35
Venezuela,0,23,0%,28.61
Czechia,0,22,0%,13.45
South Africa,0,22,0%,16.5
United Arab Emirates,0,21,0%,14.76
Israel,0,20,0%,23.45
Singapore,0,19,0%,11.79
Portugal,0,18,0%,8.56
Belarus,0,15,0%,10.2
Guatemala,0,14,0%,16.79
Taiwan,0,13,0%,13.62
Iraq,0,13,0%,17.54
Switzerland,0,13,0%,17.77
Tunisia,0,13,0%,18
Greece,0,13,0%,20
Jamaica,0,12,0%,17.08
Bulgaria,0,12,0%,17.5
Jordan,0,12,0%,32.08
Belgium,0,11,0%,8.36
Costa Rica,0,11,0%,10.09
Romania,0,11,0%,11
Lithuania,0,11,0%,14.27
Honduras,0,10,0%,13.2
Panama,0,10,0%,13.7
Bolivia,0,9,0%,19.44
Hungary,0,9,0%,20.22
Denmark,0,8,0%,10
Albania,0,8,0%,11.75
Austria,0,8,0%,12.5
China,0,8,0%,14.38
Puerto Rico,0,8,0%,16.75
Serbia,0,7,0%,7.86
Cambodia,0,7,0%,11.29
Trinidad & Tobago,0,7,0%,15.29
Paraguay,0,7,0%,25.57
Moldova,0,6,0%,10.17
Hong Kong,0,6,0%,11.17
Finland,0,6,0%,12.17
Kazakhstan,0,6,0%,13
Slovakia,0,6,0%,14
Slovenia,0,6,0%,14.67
Georgia,0,6,0%,17.5
Iran,0,6,0%,23.5
Kenya,0,6,0%,29.67
Azerbaijan,0,5,0%,12.4
Ethiopia,0,5,0%,32.2
Myanmar (Burma),0,5,0%,33.2
Norway,0,4,0%,10.5
Uruguay,0,4,0%,12.5
Lebanon,0,4,0%,22
Nepal,0,3,0%,12.33
Bahamas,0,3,0%,12.67
Bosnia & Herzegovina,0,3,0%,15
El Salvador,0,3,0%,16.33
Oman,0,3,0%,17.67
Uzbekistan,0,3,0%,17.67
Maldives,0,3,0%,18
Bermuda,0,3,0%,23
Armenia,0,3,0%,24
Tanzania,0,2,0%,4.5
Namibia,0,2,0%,5.5
Croatia,0,2,0%,6
Cyprus,0,2,0%,8
Estonia,0,2,0%,9
Luxembourg,0,2,0%,9
Unknown Region,0,2,0%,11.5
Palestine,0,2,0%,14.5
Macedonia,0,2,0%,16.5
Libya,0,2,0%,20.5
Syria,0,2,0%,23
Burkina Faso,0,2,0%,24
Montenegro,0,2,0%,24
Benin,0,2,0%,39
Suriname,0,2,0%,43.5
Qatar,0,2,0%,62
Barbados,0,1,0%,1
Ghana,0,1,0%,1
Seychelles,0,1,0%,1
U.S. Virgin Islands,0,1,0%,1
Bahrain,0,1,0%,2
Angola,0,1,0%,5
Jersey,0,1,0%,5
Kiribati,0,1,0%,6
Uganda,0,1,0%,6
Dominica,0,1,0%,7
Haiti,0,1,0%,8
Tajikistan,0,1,0%,8
Belize,0,1,0%,9
Antigua & Barbuda,0,1,0%,10
Equatorial Guinea,0,1,0%,10
Macau,0,1,0%,10
Western Sahara,0,1,0%,11
Kuwait,0,1,0%,11
Mozambique,0,1,0%,11
Togo,0,1,0%,11
Papua New Guinea,0,1,0%,14
Laos,0,1,0%,16
Cuba,0,1,0%,17
Iceland,0,1,0%,18
Liberia,0,1,0%,19
Latvia,0,1,0%,20
Sudan,0,1,0%,20
Kosovo,0,1,0%,22
Congo - Kinshasa,0,1,0%,23
Yemen,0,1,0%,37
Sri Lanka,0,1,0%,38
Kyrgyzstan,0,1,0%,46
Turkmenistan,0,1,0%,47
Côte d’Ivoire,0,1,0%,49
