Keyword,Market,Target Page,Baseline,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Notes
cleaning service huntsville al,Huntsville,/locations/huntsville/,,,,,,,"Primary keyword - track weekly"
house cleaning huntsville,Huntsville,/locations/huntsville/,,,,,,,"Core service term"
maid service huntsville al,Huntsville,/locations/huntsville/,,,,,,,"Alternative term"
deep cleaning huntsville al,Huntsville,/locations/huntsville/deep-cleaning/,,,,,,,"Service-specific"
move out cleaning huntsville,Huntsville,/locations/huntsville/move-out-cleaning/,,,,,,,"High-intent"
cleaning service madison al,Madison,/locations/madison/,,,,,,,"Primary keyword"
house cleaning madison alabama,Madison,/locations/madison/,,,,,,,"Core service"
cleaning service athens al,Athens,/locations/athens/,,,,,,,"Primary - lower comp"
house cleaning athens alabama,Athens,/locations/athens/,,,,,,,"Core service"
same day cleaning athens,Athens,/locations/athens/same-day-cleaning/,,,,,,,"Differentiator - dominate"
cleaning service decatur al,Decatur,/locations/decatur/,,,,,,,"Primary keyword"
move out cleaning decatur al,Decatur,/locations/decatur/move-out-cleaning/,,,,,,,"Specialty focus"
cleaning service florence al,Florence,/locations/florence/,,,,,,,"Primary keyword"
shoals cleaning service,Florence,/locations/muscle-shoals/,,,,,,,"Regional term - own this"
same day cleaning florence al,Florence,/locations/florence/same-day-cleaning/,,,,,,,"Can dominate 50%"
historic home cleaning florence,Florence,/locations/florence/historic-district/,,,,,,,"Your differentiator"
cleaning service muscle shoals,Muscle Shoals,/locations/muscle-shoals/,,,,,,,"Primary keyword"
cleaning service birmingham al,Birmingham,/locations/birmingham/,,,,,,,"High volume - competitive"
pet safe cleaning birmingham,Birmingham,/locations/birmingham/,,,,,,,"Blue ocean keyword"
cleaning service mountain brook,Mountain Brook,/locations/mountain-brook/,,,,,,,"Luxury market"
luxury home cleaning mountain brook,Mountain Brook,/locations/mountain-brook/luxury-cleaning/,,,,,,,"Premium positioning"
cleaning service nashville tn,Nashville,/locations/nashville/,,,,,,,"High volume market"
non toxic cleaning nashville,Nashville,/locations/nashville/,,,,,,,"Blue ocean - zero comp"
pet safe cleaning nashville,Nashville,/locations/nashville/,,,,,,,"Blue ocean"
airbnb cleaning nashville,Nashville,/locations/nashville/airbnb-cleaning/,,,,,,,"High demand"

---SUMMARY METRICS---,,,,,,,,,
Total Keywords Tracked:,25,,,,,,,,"Expand as needed"
Keywords in Top 3:,0,,,,,,,,"Goal: 10 by Month 3"
Keywords in Top 10:,0,,,,,,,,"Goal: 20 by Month 6"
Keywords Page 1 (1-10):,0,,,,,,,,"Track progress"
Keywords Page 2 (11-20):,0,,,,,,,,""
Keywords Page 3+ (21+):,0,,,,,,,,""
Not Ranking:,25,,,,,,,,"Starting point"

---MONTHLY ACTIONS---,,,,,,,,,
Content Published:,0,,,,,,,,"Blog posts + pages"
Citations Added:,0,,,,,,,,"Directory listings"
Reviews Received:,0,,,,,,,,"Google reviews"
GBP Posts:,0,,,,,,,,"Weekly posts"
Backlinks Earned:,0,,,,,,,,"Quality links"
