Name,Email,Phone,City,Rating,Reviews,Niche
Dynamic Dentistry Of The Shoals,info@dynamicdentistryshoals.com,+1 256-320-2150,Muscle Shoals,5.0,1126.0,Medical Clinic
Dynamic Dentistry Of The Shoals,info@dynamicshoals.com,+1 256-320-2150,Muscle Shoals,5.0,1126.0,Medical Clinic
Singing River Dentistry - Muscle Shoals,support@weomedia.com,+1 256-712-3186,Muscle Shoals,4.9,878.0,Medical Clinic
Singing River Dentistry - Muscle Shoals,info@weomedia.com,+1 256-712-3186,Muscle Shoals,4.9,878.0,Medical Clinic
Connell Dentistry,keithconnelldmd@gmail.com,+1 256-383-5770,Muscle Shoals,5.0,48.0,Medical Clinic
"Ryerson & Associates, DMD",drryerson@aol.com,+1 256-381-2100,Muscle Shoals,4.8,369.0,Medical Clinic
Family Health Care Clinic,cakponwei@famhealthcare.org,+1 256-247-3154,Rogersville,3.5,6.0,Medical Clinic
Family Health Care Clinic,miaclark@familyhealthcareclinic.com,+1 256-247-3154,Rogersville,3.5,6.0,Medical Clinic
Family Health Care Clinic,joyg41@yahoo.com,+1 256-247-3154,Rogersville,3.5,6.0,Medical Clinic
Rogersville Family Care,randy@alhnet.org,+1 256-262-6060,Rogersville,3.1,17.0,Medical Clinic
Rogersville Family Care,amandac@alhnet.org,+1 256-262-6060,Rogersville,3.1,17.0,Medical Clinic
Rogersville Family Care,felicial@alhnet.org,+1 256-262-6060,Rogersville,3.1,17.0,Medical Clinic
Treehouse Children's Dentistry- Tuscumbia,erindavis@singingriverdentistry.net,+1 256-320-5778,Tuscumbia,5.0,995.0,Medical Clinic
Treehouse Children's Dentistry- Tuscumbia,srdon5th@singingriverdentistry.com,+1 256-320-5778,Tuscumbia,5.0,995.0,Medical Clinic
Hamilton Family Urgent Care,killenclinic@hamiltonfamilyurgentcare.com,+1 256-284-7706,Killen,4.3,31.0,Medical Clinic
Hamilton Family Urgent Care,businessoffice@hamiltonfamilyurgentcare.com,+1 256-284-7706,Killen,4.3,31.0,Medical Clinic
Killen Urgent Care,killenurgentcare@gmail.com,+1 256-272-5328,Killen,3.6,39.0,Medical Clinic
Express Care of the Shoals,talktous@expresscareshoals.com,+1 256-386-7774,Tuscumbia,4.0,49.0,Medical Clinic
Shoals Primary Care LLC,b.skipworth@yahoo.com,+1 256-383-4473,Tuscumbia,2.1,9.0,Medical Clinic
Shoals Primary Care LLC,ahaithcoat@gmail.com,+1 256-383-4473,Tuscumbia,2.1,9.0,Medical Clinic
Shoals Primary Care LLC,hxxxk@shoalsprimarycarellc.com,+1 256-383-4473,Tuscumbia,2.1,9.0,Medical Clinic
Medical Associates Of The Shoals PC,clair.whitlock@medshoals.com,+1 256-383-4447,Sheffield,3.9,69.0,Medical Clinic
Medical Associates Of The Shoals PC,danielle.mcdeavitt@medshoals.com,+1 256-383-4447,Sheffield,3.9,69.0,Medical Clinic
Medical Associates Of The Shoals PC,talktous@medshoals.com,+1 256-383-4447,Sheffield,3.9,69.0,Medical Clinic
Huntsville Hospital Urgent Care - Muscle Shoals,amy_thomas@chs.net,+1 256-826-1001,Muscle Shoals,4.6,941.0,Medical Clinic
Huntsville Hospital Urgent Care - Muscle Shoals,joel.larru@yahoo.com,+1 256-826-1001,Muscle Shoals,4.6,941.0,Medical Clinic
Huntsville Hospital Urgent Care - Muscle Shoals,tsdent@bellsouth.net,+1 256-826-1001,Muscle Shoals,4.6,941.0,Medical Clinic
Shoals Family Clinic,team@latofonts.com,+1 256-678-8892,Muscle Shoals,5.0,98.0,Medical Clinic
Shoals Family Clinic,info@shoalsfamilyclinic.com,+1 256-678-8892,Muscle Shoals,5.0,98.0,Medical Clinic
Shoals Family Clinic,info@indiantypefoundry.com,+1 256-678-8892,Muscle Shoals,5.0,98.0,Medical Clinic
Tennessee River Urgent Care,hello@rfuenzalida.com,+1 256-320-7365,Sheffield,3.9,49.0,Medical Clinic
Tennessee River Urgent Care,matt@pixelspread.com,+1 256-320-7365,Sheffield,3.9,49.0,Medical Clinic
Tennessee River Urgent Care,tennesseeriverurgentcare@gmail.com,+1 256-320-7365,Sheffield,3.9,49.0,Medical Clinic
North Alabama Primary Care,privacy.inquiries@lifepointhealth.net,+1 256-980-6203,Muscle Shoals,4.6,9.0,Medical Clinic
North Alabama Primary Care,practice.interopapi@lpnt.net,+1 256-980-6203,Muscle Shoals,4.6,9.0,Medical Clinic
North Alabama Primary Care,bholloway@shoalshospital.com,+1 256-980-6203,Muscle Shoals,4.6,9.0,Medical Clinic
Tennessee Valley Pediatrics - Main Office -TVP,tnvalleypeds@pedstvp.com,+1 256-381-6963,Tuscumbia,3.3,41.0,Medical Clinic
Shoals Area CBOC,christine.brando@va.gov,+1 256-381-9055,Sheffield,3.4,19.0,Medical Clinic
Shoals Area CBOC,stan.crumpton@va.gov,+1 256-381-9055,Sheffield,3.4,19.0,Medical Clinic
Shoals Area CBOC,wayne.chiu@va.gov,+1 256-381-9055,Sheffield,3.4,19.0,Medical Clinic
Avalon Urgent Care,avalonmedicalcenter@gmail.com,+1 256-383-7007,Muscle Shoals,4.8,16.0,Medical Clinic
Colbert County Health Department,darwinajohnson@adph.state.us.al,+1 256-383-1231,Sheffield,4.5,13.0,Medical Clinic
Colbert County Health Department,joe.lee@adph.state.al.us,+1 256-383-1231,Sheffield,4.5,13.0,Medical Clinic
Colbert County Health Department,linda.hines@adph.state.al.us,+1 256-383-1231,Sheffield,4.5,13.0,Medical Clinic
"Keller Ear, Nose and Throat",lt.oden@live.com,+1 256-381-6673,Sheffield,4.8,90.0,Medical Clinic
"Keller Ear, Nose and Throat",ehjtg136@aol.com,+1 256-381-6673,Sheffield,4.8,90.0,Medical Clinic
"Keller Ear, Nose and Throat",bkbroadfoot@gmail.com,+1 256-381-6673,Sheffield,4.8,90.0,Medical Clinic
True Family Healthcare,dalsup@lhcare.com,+1 256-383-6070,Muscle Shoals,3.0,2.0,Medical Clinic
P4 Physical Therapy,donnie.smith@p4physicaltherapy.com,+1 256-826-5200,Tuscumbia,5.0,322.0,Medical Clinic
P4 Physical Therapy,jonesvalleyoffice@p4physicaltherapy.com,+1 256-826-5200,Tuscumbia,5.0,322.0,Medical Clinic
P4 Physical Therapy,roxanne.stmartin@p4physicaltherapy.com,+1 256-826-5200,Tuscumbia,5.0,322.0,Medical Clinic
Southern Infusion,southerninfusional@gmail.com,+1 256-627-3163,Tuscumbia,5.0,1.0,Medical Clinic
Shoals Hospital,shannon.barber@namccares.com,+1 256-768-8323,Muscle Shoals,3.8,156.0,Medical Clinic
Shoals Hospital,complaint@jcaho.org,+1 256-768-8323,Muscle Shoals,3.8,156.0,Medical Clinic
Shoals Hospital,lpnt.interopapi@lpnt.net,+1 256-768-8323,Muscle Shoals,3.8,156.0,Medical Clinic
Oral & Facial Surgery Of The Shoals LLC - Sheffield,ofss@comcast.net,+1 256-383-1499,Sheffield,4.8,642.0,Medical Clinic
Central Park Dentistry Sheffield,cpdsheffield@gmail.com,+1 641-892-4898,Sheffield,4.9,69.0,Medical Clinic
Hickory Hills Dental Care,smile@hickoryhillsdentalcare.com,+1 256-766-8800,Florence,4.8,496.0,Medical Clinic
Hickory Hills Dental Care,montra@hickoryhillsdentalcare.com,+1 256-766-8800,Florence,4.8,496.0,Medical Clinic
Hickory Hills Dental Care,info@hickoryhillsdentalcare.com,+1 256-766-8800,Florence,4.8,496.0,Medical Clinic
Johnson and Mahan Dental Care,jmdentalcare@gmail.com,+1 256-766-3260,Florence,4.9,423.0,Medical Clinic
Johnson and Mahan Dental Care,johnsonmahanom@mb2dental.com,+1 256-766-3260,Florence,4.9,423.0,Medical Clinic
Emergency Dentist 24/7,tim@emergencydentalmn.com,+1 866-601-7601,Florence,2.0,4.0,Medical Clinic
Emergency Dentist 24/7,springs@emergencydental.com,+1 866-601-7601,Florence,2.0,4.0,Medical Clinic
Emergency Dentist 24/7,csantanni@yahoo.com,+1 866-601-7601,Florence,2.0,4.0,Medical Clinic
Signature Smile,info@marqueedental.com,+1 256-767-6453,Florence,4.8,232.0,Medical Clinic
Signature Smile,florencemgr@marqueedental.com,+1 256-767-6453,Florence,4.8,232.0,Medical Clinic
"Aspen Dental - Florence, AL",jed.vess@dentalwhale.com,+1 256-712-3500,Florence,4.0,314.0,Medical Clinic
"Aspen Dental - Florence, AL",cmullett@aspendental.com,+1 256-712-3500,Florence,4.0,314.0,Medical Clinic
"Aspen Dental - Florence, AL",karen.tarzon@uscellular.com,+1 256-712-3500,Florence,4.0,314.0,Medical Clinic
Griffin Family Dentistry,griffindental@att.net,+1 256-764-4533,Florence,5.0,28.0,Medical Clinic
Griffin Family Dentistry,john@drrygriffin.com,+1 256-764-4533,Florence,5.0,28.0,Medical Clinic
Renaissance Dental,eroden35@gmail.com,+1 256-764-1062,Florence,4.6,38.0,Medical Clinic
Cypress Creek Dental - Dr. Whitney Flippo,shabbir@cypresscreeksmiles.com,+1 256-766-2606,Florence,5.0,2.0,Medical Clinic
Cypress Creek Dental - Dr. Whitney Flippo,luzak700@gmail.com,+1 256-766-2606,Florence,5.0,2.0,Medical Clinic
Cypress Creek Dental - Dr. Whitney Flippo,pcboybk6903@go.com,+1 256-766-2606,Florence,5.0,2.0,Medical Clinic
Coker Cosmetic & Family Dentistry,cokerdentistry@gmail.com,+1 256-767-7600,Florence,4.6,45.0,Medical Clinic
"Russ Dentistry, LLC",russdentistry@gmail.com,+1 256-764-6677,Florence,4.9,111.0,Medical Clinic
Sexton Dental Clinic Inc.,dirtytj2004@yahoo.com,+1 843-662-2543,Florence,3.4,626.0,Medical Clinic
Sexton Dental Clinic Inc.,jason@sextondental.net,+1 843-662-2543,Florence,3.4,626.0,Medical Clinic
Sexton Dental Clinic Inc.,ebenn@sextondental.net,+1 843-662-2543,Florence,3.4,626.0,Medical Clinic
Smith & Smith Endodontics,info@carefund.com,+1 256-767-1882,Florence,4.8,288.0,Medical Clinic
Smith & Smith Endodontics,info@smithandsmithendodontics.com,+1 256-767-1882,Florence,4.8,288.0,Medical Clinic
Wear Smiles- Dr. Josh Wear DMD and Dr. Ken Hibbett DMD,contact@wearsmilesdental.com,+1 256-766-4236,Florence,4.6,11.0,Medical Clinic
Morris D Lee MD,hpyatt@florenceoms.com,+1 256-712-5096,Florence,5.0,11.0,Medical Clinic
Morris D Lee MD,hjohnso@florenceoms.com,+1 256-712-5096,Florence,5.0,11.0,Medical Clinic
Morris D Lee MD,acampbe@florenceoms.com,+1 256-712-5096,Florence,5.0,11.0,Medical Clinic
Shoals Orthodontics,ruiters@accesscomm.ca,+1 256-767-0809,Florence,4.4,22.0,Medical Clinic
Shoals Orthodontics,info@shoalsorthodontics.com,+1 256-767-0809,Florence,4.4,22.0,Medical Clinic
"Merritt, David H Dr",f.peterman@pediatricdentalclinic.com,+1 256-766-0270,Florence,3.9,11.0,Medical Clinic
"Merritt, David H Dr",t.cottles@pediatricdentalclinic.com,+1 256-766-0270,Florence,3.9,11.0,Medical Clinic
"Merritt, David H Dr",thepediatricdentalclinic@gmail.com,+1 256-766-0270,Florence,3.9,11.0,Medical Clinic
"Wilbanks Dental - Matthew N. Wilbanks, D.M.D., P.C.",matt@wilbanksdental.com,+1 256-764-5761,Florence,5.0,5.0,Medical Clinic
Sheffield (Florence) VA Outpatient Clinic,asakom@u.washington.edu,+1 256-381-9055,Sheffield,4.2,5.0,Medical Clinic
Sheffield (Florence) VA Outpatient Clinic,bhargp@u.washington.edu,+1 256-381-9055,Sheffield,4.2,5.0,Medical Clinic
Sheffield (Florence) VA Outpatient Clinic,ROSA.MEADORS@VA.GOV,+1 256-381-9055,Sheffield,4.2,5.0,Medical Clinic
Public Health Area 1,dale.mcqurter@adph.state.al.us,+1 256-383-1231,Sheffield,3.7,6.0,Medical Clinic
Public Health Area 1,jbollinger@adph.state.al.us,+1 256-383-1231,Sheffield,3.7,6.0,Medical Clinic
Public Health Area 1,karen.supek-ferris@adph.state.al.us,+1 256-383-1231,Sheffield,3.7,6.0,Medical Clinic
"Surgical Associates of the Shoals, PC",surgicalassociatesoftheshoals@gmail.com,+1 256-386-1125,Sheffield,5.0,13.0,Medical Clinic
Rheumatology Associates-N Al,ajaleel@rana-hsv.org,+1 256-767-6263,Sheffield,4.7,122.0,Medical Clinic
Rheumatology Associates-N Al,hsvoffice@rana-hsv.org,+1 256-767-6263,Sheffield,4.7,122.0,Medical Clinic
Rheumatology Associates-N Al,florenceoffice@rana-hsv.org,+1 256-767-6263,Sheffield,4.7,122.0,Medical Clinic
Dr. Charles Thompson,john@denteldoc.com,+1 256-288-3333,Sheffield,5.0,3.0,Medical Clinic
Dr. Charles Thompson,info@weence.com,+1 256-288-3333,Sheffield,5.0,3.0,Medical Clinic
Dr. Charles Thompson,pets2266@yahoo.com,+1 256-288-3333,Sheffield,5.0,3.0,Medical Clinic
"Shoals Urological Associates, PC",michael.yordy@shoalschamber.com,+1 256-381-5510,Sheffield,3.6,45.0,Medical Clinic
"Shoals Urological Associates, PC",myordy@shoalschamber.com,+1 256-381-5510,Sheffield,3.6,45.0,Medical Clinic
"Shoals Urological Associates, PC",ckeeton@shoalschamber.com,+1 256-381-5510,Sheffield,3.6,45.0,Medical Clinic
"Healogics, LLC",steve.alexandre@yahoo.com,+1 256-386-9961,Sheffield,5.0,1.0,Medical Clinic
"Healogics, LLC",salexandre@gopco.com,+1 256-386-9961,Sheffield,5.0,1.0,Medical Clinic
Parker Family Medicine and Metabolic Health,info@parkermedicalweightloss.com,+1 256-386-0808,Muscle Shoals,3.9,12.0,Medical Clinic
"North Alabama Bone and Joint Clinic, PC",shelder.md@gmail.com,+1 256-900-8552,Muscle Shoals,4.9,462.0,Medical Clinic
"North Alabama Bone and Joint Clinic, PC",mgallien@nabjc.com,+1 256-900-8552,Muscle Shoals,4.9,462.0,Medical Clinic
"North Alabama Bone and Joint Clinic, PC",mal18@ibm.net,+1 256-900-8552,Muscle Shoals,4.9,462.0,Medical Clinic
"Genesis Medical Detox of the Shoals — Muscle Shoals, Alabama",info@genesisdetoxatpulaski.com,+1 844-895-0537,Muscle Shoals,4.6,24.0,Medical Clinic
"Genesis Medical Detox of the Shoals — Muscle Shoals, Alabama",info@genesismedicaldetox.com,+1 844-895-0537,Muscle Shoals,4.6,24.0,Medical Clinic
Shoals Medical Massage Therapy,Cfitzg6505@aol.Com,+1 256-200-9431,Muscle Shoals,5.0,17.0,Medical Clinic
Shoals Medical Massage Therapy,Gjc3839@aol.Com,+1 256-200-9431,Muscle Shoals,5.0,17.0,Medical Clinic
Shoals Medical Massage Therapy,Studwld@aol.Com,+1 256-200-9431,Muscle Shoals,5.0,17.0,Medical Clinic
Integrated Behavioral Health,qrbridgette.clemmons96@yahoo.com,+1 256-320-7475,Muscle Shoals,4.4,362.0,Medical Clinic
Integrated Behavioral Health,ahanback@ibhus.com,+1 256-320-7475,Muscle Shoals,4.4,362.0,Medical Clinic
Integrated Behavioral Health,dboley@ibhus.com,+1 256-320-7475,Muscle Shoals,4.4,362.0,Medical Clinic
Quad Cities Pediatrics,regina@quadcitiespeds.com,+1 256-826-1800,Muscle Shoals,4.7,73.0,Medical Clinic
North Alabama Medical Center,macarton@namccares.com,+1 256-629-1000,Florence,4.1,1691.0,Medical Clinic
North Alabama Medical Center,gilbert.humbert@namccares.com,+1 256-629-1000,Florence,4.1,1691.0,Medical Clinic
North Alabama Medical Center,alisa.robinson@namccares.com,+1 256-629-1000,Florence,4.1,1691.0,Medical Clinic
Heart Health Center,mcampob@hearthealthcenterpc.com,+1 256-766-8570,Muscle Shoals,3.2,32.0,Medical Clinic
Heart Health Center,atoh@hearthealthcenterpc.com,+1 256-766-8570,Muscle Shoals,3.2,32.0,Medical Clinic
Heart Health Center,mberlin@hearthealthcenterpc.com,+1 256-766-8570,Muscle Shoals,3.2,32.0,Medical Clinic
Med Plus,feedback@medplus-florence.com,+1 256-767-2702,Florence,3.6,88.0,Medical Clinic
